Part Name,Quantity,Link
"6V 12mm 500 rpm
 micro dc motor ",2,https://www.robotistan.com/6v-12mm-500-rpm-reduktorlu-dc-motor?language=tr&h=1eadbe63&_sgm_campaign=product&_sgm_source=8882&_sgm_action=search&_sgm_term=6V&_sgm_pinned=false
"6V 12mm 50 rpm
 micro dc motor",1,https://www.robotistan.com/6v-12mm-50-rpm-reduktorlu-dc-motor?language=tr&h=cee2f36d&_sgm_campaign=product&_sgm_source=8874&_sgm_action=search&_sgm_term=6v&_sgm_pinned=false
"TB6612FNG 
dc motor driver",1,https://www.robotistan.com/tb6612fng-step-motor-surucu-dc-motor-sucuru?language=tr&h=288b471b
Arduino Uno R3,1,https://www.robotzade.com/urun/arduino-uno-r3-klon-usb-kablo-hediyeli-usb-chip-ch340?srsltid=AfmBOoqV9shOIsyQv0IwShwO0v-wTaGPSNYW4n6GCHGw2VpoozNng-b8u6g
m4*8 screw,6,https://www.robotistan.com/m4-8mm-yildiz-basli-civata
m4 nut,8,https://www.robotistan.com/m4-nut-10-pieces
m4*10 screw,8,https://www.robotistan.com/m4-10mm-yildiz-basli-civata
m4 heat set insert,6,https://www.robolinkmarket.com/m4x8mm-pirinc-insert-10-adet?srsltid=AfmBOorqcO0Hfat_r_OMcce5JdDtaG2XX4B-uStYn9LUNW1EF9ge6Odd
AMS1117 3.3V 1A Lineer Voltaj Regülatör SOT223,1,https://www.direnc.net/ams1117-smd-3v3-dogrusal-voltaj-regulatoru?language=tr&h=cdedfc6f&srsltid=AfmBOooV_1GmZAKgK_dB4zB89e8BuZtoPG5jUEJyYslqPI6ccDqfc7Xu2aM
47uF Capacitor,1,https://www.robotistan.com/47uf-63v-elektrolit-kondansator-1?language=tr&h=fdeef3cf
22uF capacitor,1,https://www.robotistan.com/63v-22-uf-kondansator?language=tr&h=0ef00ac0
Mosfet Transistor,1,https://www.direnc.net/irfz44--n-channel-power-mosfet-60v-50a-150w?language=tr&h=11ce2433&srsltid=AfmBOoqb_jpzP6WVg_pQOFrJvpfu561V3pTinCycT1SPgVMLXp6qvdEd0gs
1N5819 1A 40V Schottky Diyot,3,https://www.direnc.net/1n5819-1a-40v-schottky-rectifier-mic
